dim1,dim2,url1,url2
control17,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-17-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg
similarity,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image94.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg
control13,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-13-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg
similarity,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image137.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg
status,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image87.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image44.svg
control5,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-5-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg
similarity,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image30.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image29.svg
status,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image91.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image35.svg
baseline,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image63.svg
identity,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image45.svg
identity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image53.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image52.svg
baseline,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image92.svg
support,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image71.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image89.svg
baseline,control3,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-3-txt.svg
support,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image69.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image141.svg
baseline,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image64.svg
conflict,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image21.svg
baseline,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image118.svg
similarity,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image44.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image53.svg
conflict,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image28.svg
fun,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image86.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image85.svg
identity,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image53.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg
conflict,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg
similarity,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image19.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image18.svg
status,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image114.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg
support,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image120.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image15.svg
similarity,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image44.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image88.svg
fun,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image86.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg
trust,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image90.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image101.svg
support,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image14.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image15.svg
control1,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-1-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg
trust,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image113.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image52.svg
similarity,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image44.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image66.svg
identity,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image36.svg
status,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image96.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image148.svg
baseline,control12,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-12-txt.svg
knowledge,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image28.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg
